Forecast_Date,Actual_BTC_Price,ARIMA_CHAMPION,LSTM_NeuralNet,Prophet_Trend,SARIMA_Seasonal,ENSEMBLE_Average,ARIMA_Error_$,ARIMA_Error_%
2025-09-29,114400.3828125,117457.34532972421,105699.555,122810.8909375,124058.26509479067,117506.51401237871,3056.9625172242086,2.6721610907845568
2025-09-30,114056.0859375,117457.34532972421,106000.89,122938.45828125,124033.27294486381,117607.4917952095,3401.2593922242086,2.9820937342072367
2025-10-01,118648.9296875,117457.34532972421,106301.29,123066.025625,124641.9773375893,117866.65933870338,1191.5843577757914,1.0042942325010524
2025-10-02,120681.2578125,117457.34532972421,106600.72,123193.59296875,124507.68001375817,117939.8342655581,3223.9124827757914,2.671427644369367
2025-10-03,122266.53125,117457.34532972421,106899.16,123321.1603125,124810.68885863683,118122.08768771525,4809.185920275791,3.9333625245672383
2025-10-04,122425.4296875,117457.34532972421,107196.57,123448.72765625,124827.8590363748,118232.62558371224,4968.084357775791,4.058049353355096
2025-10-05,123513.4765625,117457.34532972421,107492.914,123576.295,124937.56158058604,118366.02899320256,6056.131232775791,4.90321493761151
2025-10-06,124752.53125,117457.34532972421,107788.164,123703.86234375,125238.54727656658,118546.9797531352,7295.185920275791,5.847725771316397
2025-10-07,121451.3828125,117457.34532972421,108082.28,123831.4296875,125213.57254426193,118646.15720287153,3994.0374827757914,3.2885895494017525
2025-10-08,123354.8671875,117457.34532972421,108375.234,123958.99703125,125822.2819278755,118903.46466596243,5897.521857775791,4.780939732853451
2025-10-09,121705.5859375,117457.34532972421,108667.02,124086.564375,125688.07358478708,118974.75168175282,4248.240607775791,3.49058802441279
2025-10-10,113214.3671875,117457.34532972421,108957.555,124214.13171875,125991.13076849571,119155.04062611748,4242.978142224209,3.7477382488012316
2025-10-11,110807.8828125,117457.34532972421,109246.86,124341.6990625,126008.33409266765,119263.55946497296,6649.462517224209,6.0008930307565596
2025-10-12,115169.765625,117457.34532972421,109534.88,124469.26640625,126118.07231227637,119394.89171518765,2287.5797047242086,1.9862675697133154
2025-10-13,115271.078125,117457.34532972421,109821.57,124596.83375,126419.09401744635,119573.71085241764,2186.2672047242086,1.8966311760816705
2025-10-14,113118.6640625,117457.34532972421,110106.95,124724.40109375,126394.14989741618,119670.7123614726,4338.681267224209,3.835513178291261
2025-10-15,110783.1640625,117457.34532972421,110390.94,124851.9684375,127002.8873645637,119925.78465794698,6674.181267224209,6.024544725459248
2025-10-16,108186.0390625,117457.34532972421,110673.53,124979.53578125,126868.72415120922,119994.78412804585,9271.306267224209,8.569780673704207
2025-10-17,106467.7890625,117457.34532972421,110954.69,125107.103125,127171.81820753841,120172.73854056565,10989.556267224209,10.321954052011908
2025-10-18,107198.265625,117457.34532972421,111234.41,125234.67046875,127189.0553140967,120278.86934064273,10259.079704724209,9.570191872891328
2025-10-19,108666.7109375,117457.34532972421,111512.64,125362.2378125,127298.82782373075,120407.76289773874,8790.634392224209,8.089537556059987
2025-10-20,110588.9296875,117457.34532972421,111789.34,125489.80515625,127599.88388089243,120584.09452921666,6868.415642224209,6.210762380676656
2025-10-21,108476.890625,117457.34532972421,112064.54,125617.3725,127574.97301134713,120678.55747589283,8980.454704724209,8.278680051559792
2025-10-22,107688.5859375,117457.34532972421,112338.16,125744.93984375,128183.74320978386,120931.04615831451,9768.759392224209,9.071304360792492
2025-10-23,110069.7265625,117457.34532972421,112610.2,125872.5071875,128049.61618271866,120997.41795623572,7387.618767224209,6.711762623512431
2025-10-24,111033.921875,117457.34532972421,112880.63,126000.07453125,128352.74474314338,121172.69935415439,6423.423454724209,5.785100036325461
2025-10-25,111641.7265625,117457.34532972421,113149.42,126127.641875,128370.01572060827,121276.10620008313,5815.618767224209,5.20918024674983
2025-10-26,114472.4453125,117457.34532972421,113416.555,126255.20921875,128479.82219841798,121402.23285859804,2984.9000172242086,2.607527085732891
2025-10-27,114119.328125,117457.34532972421,113682.0,126382.7765625,128780.91223054314,121575.75853069183,3338.0172047242086,2.9250235341974054
2025-10-28,112956.1640625,117457.34532972421,113945.76,126510.34390625,128756.03510653668,121667.37053875273,4501.181267224209,3.98489210799833
2025-10-29,110055.3046875,117457.34532972421,114207.78,126637.91125,129364.83893931238,121916.96919225914,7402.040642224209,6.725746353837433
2025-10-30,108305.546875,117457.34532972421,114468.06,126765.47859375,129230.74624224694,121980.40816643028,9151.798454724209,8.449981297159862
2025-10-31,109556.1640625,117457.34532972421,114726.586,126893.04593749999,129533.9087853568,122152.72149752025,7901.181267224209,7.21199152492845
2025-11-01,110064.015625,117457.34532972421,114983.33,127020.61328125,129551.21361116723,122253.12508678535,7393.329704724209,6.717299621262304
2025-11-02,110639.625,117457.34532972421,115238.25,127148.18062500001,129661.05395128507,122376.20747650231,6817.720329724209,6.162096382488831
2025-11-03,106547.5234375,117457.34532972421,115491.37,127275.74796875,129962.17784131222,122546.65958182162,10909.821892224209,10.239395098304497
2025-11-04,101590.5234375,117457.34532972421,115742.625,127403.3153125,129937.33452284598,122635.15504126754,15866.821892224209,15.61840746099287
